"id","type","original","author","title","file","downloads","votes","rating","halosafe","score","score_norating","lastmodified","md5","featured","tags","fulltags","author_blurb"
"13","Audio Poetry","Audio Poetry","Evil Ethics","News Cast Sample Overlay","Nine Inch Nails - NINRemixes.com Unofficial - 13 - News Cast Sample Overlay by Evil Ethics (Audio Poetry).mp3","1118","30","5.8","N","0.155914","0.0268817","1133597540","4854f422d66afc7f4f2113206465f97d","0",NULL,NULL,
"14","Unofficial Remix","Sunspots","Dumask","Uncoiled","Nine Inch Nails - NINRemixes.com Unofficial - 14 - Sunspots, Uncoiled, by Dumask (Unofficial Remix).mp3","1261","76","4.4","?","0.247588","0.0562701","1133682334","4464e8d2cacae5f9e21eca436cce9efb","0",NULL,NULL,
"18","Cover","Right Where It Belongs","Grant Gelb",,"Nine Inch Nails - NINRemixes.com Unofficial - 18 - Right Where It Belongs covered by Grant Gelb (Cover).mp3","1929","51","6","?","0.159458","0.0265763","1177092188","3252350148a626dd52cef157a0d0eb71","0","acoustic, folk, lo-fi","lo-fi, folk, acoustic",
"24","Cover","Piggy","Mr Me",,"Nine Inch Nails - NINRemixes.com Unofficial - 24 - Piggy covered by Mr Me (Cover).mp3","980","25","5.1","?","0.125667","0.0246407","1177092151","65380d41cea132033b49dd9daa6d59c5","0",NULL,NULL,
"19","Unofficial Remix","Slipping Away","Marc Honninger","Away Heavy Groove Mix","Nine Inch Nails - NINRemixes.com Unofficial - 19 - Slipping Away, Away Heavy Groove Mix, by Marc Honninger (Unofficial Remix).mp3","1553","32","5.8","N","0.11767","0.020288","0","41f6d201ff67cfb3b699ae6ae1b637bd","0",NULL,NULL,
"20","Unofficial Remix","Down In It","DJ Wretched","I Used to be Somebody","Nine Inch Nails - NINRemixes.com Unofficial - 20 - Down In It, I Used to be Somebody, by DJ Wretched (Unofficial Remix).mp3","1445","20","5.3","?","0.0737648","0.0139179","0","0892414915143914e33562ea100e20e0","0",NULL,NULL,
"21","Unofficial Remix","Hurt","DJ Wretched","Flaccid Echo","Nine Inch Nails - NINRemixes.com Unofficial - 21 - Hurt, Flaccid Echo, by DJ Wretched (Unofficial Remix).mp3","1937","34","4.6","?","0.0787344","0.0171162","0","b8c0ff00353abaf40f699be2f97dabe7","0",NULL,NULL,
"22","Unofficial Remix","The Perfect Drug","Marc Honninger",,"Nine Inch Nails - NINRemixes.com Unofficial - 22 - The Perfect Drug remixed by Marc Honninger (Unofficial Remix).mp3","1574","35","5.6","?","0.12548","0.0224072","1177091896","2b2cd51642e57ebb8f0ad51be4c2734e","0",NULL,NULL,
"23","Unofficial Remix","Beside You In Time","Moebox",,"Nine Inch Nails - NINRemixes.com Unofficial - 23 - Beside You In Time remixed by Moebox (Unofficial Remix).mp3","1341","46","6","?","0.202703","0.0337838","1183473451","7b203dfbc07cfb656d264c559f7de85a","0",NULL,NULL,
"25","Cover","The Persistence of Loss","Dallas Dowdy","Stopping My Heart Mix","Nine Inch Nails - NINRemixes.com Unofficial - 25 - The Persistence of Loss, Stopping My Heart Mix, by Dallas Dowdy (Cover).mp3","1826","87","5.8","?","0.278017","0.0479339","0","61b47777914054906acd470df28256c9","0","decent voice, great lyrics, low-quality","low-quality, great lyrics, decent voice",
"26","Unofficial Remix","You Know What You Are","5ilent Narcotic",,"Nine Inch Nails - NINRemixes.com Unofficial - 26 - You Know What You Are remixed by 5ilent Narcotic (Unofficial Remix).mp3","1990","46","5.6","?","0.130101","0.0232323","1177091309","ed227c3e266453f7afff5a2249972c02","0",NULL,NULL,
"12","Cover","And All That Could Have Been","Red 7 Fury With Lady Dev","Collaboration","Nine Inch Nails - NINRemixes.com Unofficial - 12 - And All That Could Have Been, Collaboration, by Red 7 Fury With Lady Dev (Cover).mp3","2130","79","5.9","?","0.209815","0.0355619","1134020103","e002155269e87225ec8764f66c7cb914","0","lovely voice","lovely voice",
"16","Unofficial Remix","Quake Theme","ATron",,"Nine Inch Nails - NINRemixes.com Unofficial - 16 - Quake Theme remixed by ATron (Unofficial Remix).mp3","1212","24","5.4","?","0.107641","0.0199336","1134021080","be8561f55c953e6488733bdab753b699","0",NULL,NULL,
"15","Cover","Ringfinger","Red 7 Fury With Lady Dev","Collaboration","Nine Inch Nails - NINRemixes.com Unofficial - 15 - Ringfinger, Collaboration, by Red 7 Fury With Lady Dev (Cover).mp3","1296","49","6.2","?","0.237158","0.0382514","1134021043","e7889a544e7f7fb2cac2b4c868fd1893","0",NULL,NULL,
"17","Unofficial Remix","A Warm Place","Black Purulent Duke","Coming Down","Nine Inch Nails - NINRemixes.com Unofficial - 17 - A Warm Place, Coming Down, by Black Purulent Duke (Unofficial Remix).mp3","1275","32","5.8","?","0.133598","0.0230342","1138343552","02ef98637c87373765e68ce90811fbe2","0",NULL,NULL,
"27","Unofficial Remix","Closer","Black Purulent Duke","Very Sleazy Very Godlike","Nine Inch Nails - NINRemixes.com Unofficial - 27 - Closer, Very Sleazy Very Godlike, by Black Purulent Duke (Unofficial Remix).mp3","1464","34","6","?","0.136364","0.0227273","1134752995","8ec1b246010005afac7a2c7cf13b2525","0","Psychadelic, psychadelic, unique","unique, Psychadelic, psychadelic, nice synths and edits., experimental",
"28","Fan Inspired Song","Fan Inspired Song","Japan","Poison Grape","Nine Inch Nails - NINRemixes.com Unofficial - 28 - Poison Grape by Japan (Fan Inspired Song).mp3","554","27","5.8","?","0.283696","0.048913","1135066485","eedc09805a1efe5d65baa409848ac968","0",NULL,NULL,
"29","Unofficial Remix","Non Entity","Sefiros","Version","Nine Inch Nails - NINRemixes.com Unofficial - 29 - Non Entity, Version, by Sefiros (Unofficial Remix).mp3","9074","457","7.4","?","0.371641","0.0502217","1177061916","eff9ac91d65605fe4dd526aea26257c2","1","awesome, well done indeed, well done sir","awesome, well done indeed, well done sir, studio version, nice piano, better then awesome, brilliant",
"30","Unofficial Remix","Mashup","The Industrial Lord Of Sounzz","Collector Of Memorabilia","Nine Inch Nails - NINRemixes.com Unofficial - 30 - Mashup, Collector Of Memorabilia, by The Industrial Lord Of Sounzz (Unofficial Remix).mp3","944","32","5.5","?","0.187433","0.0340788","1177691071","b5e62aedc708fbadf9d33a3919c52311","0","collector, mashup, memorabilia","memorabilia, mashup, collector",
"31","Unofficial Remix","Reptile","The Industrial Lord Of Sounzz","Beautiful Liar","Nine Inch Nails - NINRemixes.com Unofficial - 31 - Reptile, Beautiful Liar, by The Industrial Lord Of Sounzz (Unofficial Remix).mp3","1554","36","5.9","?","0.137654","0.0233312","1225917655","64c6571f173215f8c8759fbfd9f4b370","0","Virgos Merlot, lord of sounzz, reptile","Virgos Merlot, reptile, lord of sounzz, liar",
"32","Fan Inspired Song","Fan Inspired Song","Sick Messiah","So Special (Recorded In 1999)","Nine Inch Nails - NINRemixes.com Unofficial - 32 - So Special (Recorded In 1999) by Sick Messiah (Fan Inspired Song).mp3","1007","52","5.9","?","0.305578","0.0517928","1135909178","2d4dda583c32e52a8a693f8a04a91630","0",NULL,NULL,
"33","Unofficial Remix","Wish","John Lucci","Halo Remix","Nine Inch Nails - NINRemixes.com Unofficial - 33 - Wish, Halo Remix, by John Lucci (Unofficial Remix).mp3","1426","16","5.2","?","0.0587156","0.0112915","1136177513","c02152c168397a2fb41cc983ceae49ed","0",NULL,NULL,
"34","Unofficial Remix","The Big Come Down","Arc Angel","Orgasm Mix, It Keeps On Coming","Nine Inch Nails - NINRemixes.com Unofficial - 34 - The Big Come Down, Orgasm Mix, It Keeps On Coming, by Arc Angel (Unofficial Remix).mp3","1267","39","5.7","?","0.168048","0.0294821","1179663391","3fee099f2307469037793941512cb5e7","0","angry trent","angry trent",
"35","Unofficial Remix","The Big Come Down","Cold Water Flat","Cold Mix","Nine Inch Nails - NINRemixes.com Unofficial - 35 - The Big Come Down, Cold Mix, by Cold Water Flat (Unofficial Remix).mp3","1955","81","6","?","0.242739","0.0404564","1179659646","6bdac541337bb5df99da57a2a005d2ef","0","brilliant, minimal, relaxed","relaxed, minimal, brilliant",
"36","Cover","Something I Can Never Have","Stil",,"Nine Inch Nails - NINRemixes.com Unofficial - 36 - Something I Can Never Have covered by Stil (Cover).mp3","1096","28","6.1","?","0.140683","0.0230627","1136426243","116369af7368635ee73ba5ecb603bdf9","0",NULL,NULL,
"37","Unofficial Remix","Non Entity","Logan Kayle","Blinded by the Darkness Remix","Nine Inch Nails - NINRemixes.com Unofficial - 37 - Non Entity, Blinded by the Darkness Remix, by Logan Kayle (Unofficial Remix).mp3","1265","27","5.6","?","0.115924","0.0207006","1136779641","2da6809ab4011879c38a8262abbb7aa5","0",NULL,NULL,
"38","Unofficial Remix","The Big Come Down","Far Below Zero","Even Lower","Nine Inch Nails - NINRemixes.com Unofficial - 38 - The Big Come Down, Even Lower, by Far Below Zero (Unofficial Remix).mp3","692","22","5.5","?","0.168613","0.0306569","1179659718","3f7170553767a9498b6ca5dbe52bfae8","0","Funky Bass","Funky Bass",
"39","Unofficial Remix","With Teeth","Maximum","Wave Goodbye Mix","Nine Inch Nails - NINRemixes.com Unofficial - 39 - With Teeth, Wave Goodbye Mix, by Maximum (Unofficial Remix).mp3","1481","34","5.8","?","0.130381","0.0224796","1137470225","65a196f9094930732755244d3e3e4d4a","0",NULL,NULL,
"40","Unofficial Remix","Eraser","Unknown","Totally ReErased","Nine Inch Nails - NINRemixes.com Unofficial - 40 - Eraser, Totally ReErased, by Unknown (Unofficial Remix).mp3","1219","20","5.6","?","0.0837905","0.0149626","1137909156","d2282617718efc2002453b0e01f79b43","0",NULL,NULL,
"41","Unofficial Remix","Complications of the Flesh","DJ Wretched","Give It To Me","Nine Inch Nails - NINRemixes.com Unofficial - 41 - Complications of the Flesh, Give It To Me, by DJ Wretched (Unofficial Remix).mp3","988","18","5.8","?","0.106858","0.0184237","1138323601","150dc2919c9f255bde25d2659f59af7b","0",NULL,NULL,
"42","Unofficial Remix","The Perfect Drug","DJ Wretched","Take Me With You","Nine Inch Nails - NINRemixes.com Unofficial - 42 - The Perfect Drug, Take Me With You, by DJ Wretched (Unofficial Remix).mp3","1161","20","5.4","?","0.0939948","0.0174064","1138323692","2e940a1c4aabc5ecec856c3419a490ad","0",NULL,NULL,
"43","Cover","Non Entity","Oniseraph","Her Entity","Nine Inch Nails - NINRemixes.com Unofficial - 43 - Non Entity, Her Entity, by Oniseraph (Cover).mp3","2539","101","6","?","0.232411","0.0387352","1177062641","1ecf2b2c8bf8a4d9e69a72bbf291cb08","1","female vocals, impressive, orchestral","orchestral, impressive, female vocals",
"44","Unofficial Remix","The Big Come Down","Charlie Wall","The Gift Of OK","Nine Inch Nails - NINRemixes.com Unofficial - 44 - The Big Come Down, The Gift Of OK, by Charlie Wall (Unofficial Remix).mp3","565","11","5.4","?","0.107414","0.0198915","1179664005","7312734d28c1cc60f2b3d8365a823bd2","0",NULL,NULL,
"45","Cover","Gave Up","Twin",,"Nine Inch Nails - NINRemixes.com Unofficial - 45 - Gave Up covered by Twin (Cover).mp3","841","23","4.8","?","0.103473","0.0215569","1139719028","f9cd000439b54b96a26ea8bc0762777a","0",NULL,NULL,
"46","Unofficial Remix","Closer","Shagg187","Last Mix","Nine Inch Nails - NINRemixes.com Unofficial - 46 - Closer, Last Mix, by Shagg187 (Unofficial Remix).mp3","1784","48","5.4","?","0.143633","0.0265988","1139896299","a6f2fb9cdcfda004ea302a257ebdd7fd","0","badass","badass",
"47","Cover","A Warm Place","Death By Orgy13","Reborn","Nine Inch Nails - NINRemixes.com Unofficial - 47 - A Warm Place, Reborn, by Death By Orgy13 (Cover).mp3","1019","28","6","?","0.160714","0.0267857","1140329928","4be290b5691247688b774363b2254721","0",NULL,NULL,
"48","Unofficial Remix","Mashup","DJ Lee","Closer, Get Down Make Love","Nine Inch Nails - NINRemixes.com Unofficial - 48 - Mashup, Closer, Get Down Make Love, by DJ Lee (Unofficial Remix).mp3","3535","147","6.3","?","0.259443","0.0411815","1184896977","14dc69705ea572ea4cd7183341e3a948","1","dj Lee is awesome, industrial","industrial, dj Lee is awesome",
"49","Unofficial Remix","That's What I Get","DJ Lee",,"Nine Inch Nails - NINRemixes.com Unofficial - 49 - That's What I Get remixed by DJ Lee (Unofficial Remix).mp3","4198","183","6.7","?","0.287235","0.0428709","1188455381","aa73343468653bd9c7e50cb3fe0af86b","0","audacious, badass, hard hitting beat","hard hitting beat, badass, audacious, ",
"50","Unofficial Remix","Heresy","Shagg187","Dub","Nine Inch Nails - NINRemixes.com Unofficial - 50 - Heresy, Dub, by Shagg187 (Unofficial Remix).mp3","1747","41","5.5","?","0.126947","0.0230814","1140761703","6f7137b82dfcbab705f109f4a6456cf8","0","instrumental","instrumental",
"51","Unofficial Remix","Ruiner","Evil Ethics","Top Dollar","Nine Inch Nails - NINRemixes.com Unofficial - 51 - Ruiner, Top Dollar, by Evil Ethics (Unofficial Remix).mp3","1081","22","5.5","?","0.107743","0.0195896","1140988384","4a880742984c92d509c431d85fc5b199","0",NULL,NULL,
"52","Fan Inspired Song","Fan Inspired Song","Digital Syn (ft. Sick Messiah)","Drowning Emotions","Nine Inch Nails - NINRemixes.com Unofficial - 52 - Drowning Emotions by Digital Syn (ft. Sick Messiah) (Fan Inspired Song).mp3","714","32","6","?","0.273894","0.0456491","1183275210","b97096a7808625e9128c67d09aafbfa2","0",NULL,NULL,
"53","Cover","Hurt","Demonica and B Pill","Violently","Nine Inch Nails - NINRemixes.com Unofficial - 53 - Hurt, Violently, by Demonica and B Pill (Cover).mp3","1069","15","3.1","?","0.0407129","0.0131332","1225996304","a69e6dc05a20db73121a03d57bdafe49","0",NULL,NULL,
"54","Unofficial Remix","The Big Come Down","Achenar","Unwise Roads","Nine Inch Nails - NINRemixes.com Unofficial - 54 - The Big Come Down, Unwise Roads, by Achenar (Unofficial Remix).mp3","869","29","5.7","?","0.191319","0.0335648","1179659670","ed02015bc97bfc1e26a7d8774549e9cc","0",NULL,NULL,
"55","Unofficial Remix","Closer","Brimst One","Animal Mix","Nine Inch Nails - NINRemixes.com Unofficial - 55 - Closer, Animal Mix, by Brimst One (Unofficial Remix).mp3","2021","52","6.1","?","0.149301","0.0244755","1143689579","789e9e0b34c768d678a9065b9bf0970a","0",NULL,NULL,
"56","Cover","The Day The World Went Away","DJ Wretched","Swedish Layered","Nine Inch Nails - NINRemixes.com Unofficial - 56 - The Day The World Went Away, Swedish Layered, by DJ Wretched (Cover).mp3","1247","31","5.3","?","0.132821","0.0250606","1190519518","cf5c7f3d2dab8319946f02e1ee3767fb","0",NULL,NULL,
"57","Fan Inspired Song","Fan Inspired Song","Demonica And Steven Parks","Sea of Lies","Nine Inch Nails - NINRemixes.com Unofficial - 57 - Sea of Lies by Demonica And Steven Parks (Fan Inspired Song).mp3","365","13","3.7","?","0.131781","0.0356164","1142701478","4c92fb67cea4a2ddf24adfd5b7cdb1fc","0","Dude, this sucks, wtf?","wtf?, this sucks, Dude",
"58","Unofficial Remix","The Downward Spiral","Black Purulent Duke","Uzumaki Mix","Nine Inch Nails - NINRemixes.com Unofficial - 58 - The Downward Spiral, Uzumaki Mix, by Black Purulent Duke (Unofficial Remix).mp3","697","14","5.1","?","0.095671","0.018759","1142701533","5e910954b8b70573dd242cc066cb33a6","0","LOL NINJA STYLE!, Naruto","Naruto, LOL NINJA STYLE!",
"59","Unofficial Remix","The Perfect Drug","Brimst One","Fallen Star Mix","Nine Inch Nails - NINRemixes.com Unofficial - 59 - The Perfect Drug, Fallen Star Mix, by Brimst One (Unofficial Remix).mp3","1495","32","5.9","?","0.128","0.0216949","1142701557","2e63907d46f6076cce374f60ab1c7233","0","dance","dance",
"60","Unofficial Remix","A Warm Place","Distant Skies",,"Nine Inch Nails - NINRemixes.com Unofficial - 60 - A Warm Place remixed by Distant Skies (Unofficial Remix).mp3","907","19","5.4","?","0.109091","0.020202","1142715028","3c15e2bba51b87986130a44d7c19b427","0",NULL,NULL,
"61","Unofficial Remix","A Violet Fluid","Black Purulent Duke","Kerosene Mix","Nine Inch Nails - NINRemixes.com Unofficial - 61 - A Violet Fluid, Kerosene Mix, by Black Purulent Duke (Unofficial Remix).mp3","721","11","5.5","?","0.0853315","0.0155148","1142976419","147901b0f01e4a9d6f1e60795cb5eecc","0",NULL,NULL,
"62","Unofficial Remix","Right Where It Belongs","Moebox","Crystal","Nine Inch Nails - NINRemixes.com Unofficial - 62 - Right Where It Belongs, Crystal, by Moebox (Unofficial Remix).mp3","1588","20","4.5","?","0.0540114","0.0120025","1190604658","3360fb2c63d82946d1f265aace29d17e","0","cool scratch sound","cool scratch sound",
"63","Cover","Closer","Hobie Puzak","Madrigal","Nine Inch Nails - NINRemixes.com Unofficial - 63 - Closer, Madrigal, by Hobie Puzak (Cover).mp3","1432","44","5.8","?","0.170947","0.0294737","1215367990","7e4360804eec4837eb76cc5e51ce989d","0","LOL, dance hall buckfuddy!","LOL, dance hall buckfuddy!",
"64","Unofficial Remix","Home","DJ Wretched","Inside You","Nine Inch Nails - NINRemixes.com Unofficial - 64 - Home, Inside You, by DJ Wretched (Unofficial Remix).mp3","1202","27","5.7","?","0.128787","0.0225941","1143693066","85514ed191ef55ca8b2fa0413a0121a2","0","INTENSE!","INTENSE!",
"65","Fan Inspired Song","Fan Inspired Song","H","The Lie","Nine Inch Nails - NINRemixes.com Unofficial - 65 - The Lie by H (Fan Inspired Song).mp3","2797","131","6.3","?","0.295806","0.0469534","1214933169","035a536f139db052f84eda63a1e4cda0","1","electroKoRn, gravity kills, hard techno","hard techno, gravity kills, electroKoRn",
"66","Unofficial Remix","I'm Afraid Of Americans","DJ Wretched","God Is An American","Nine Inch Nails - NINRemixes.com Unofficial - 66 - I'm Afraid Of Americans, God Is An American, by DJ Wretched (Unofficial Remix).mp3","1592","27","4","?","0.0640615","0.0160154","1190168413","1536d296401b29a5be8f0acbc2cb3b50","0",NULL,NULL,
"67","Unofficial Remix","The Downward Spiral","DJ Wretched","Wretched Spiral","Nine Inch Nails - NINRemixes.com Unofficial - 67 - The Downward Spiral, Wretched Spiral, by DJ Wretched (Unofficial Remix).mp3","766","20","4.9","?","0.132791","0.0271003","1190168380","15fb5013e14ec18d8d71c4aff0b76411","0",NULL,NULL,
"68","Unofficial Remix","Mashup","Botley","Becoming The Collector","Nine Inch Nails - NINRemixes.com Unofficial - 68 - Mashup, Becoming The Collector, by Botley (Unofficial Remix).mp3","704","19","5.8","?","0.152855","0.0263543","1186977671","b690ad3b1ac43e6a68c4cc61435a2667","0",NULL,NULL,
"69","Unofficial Remix","Heresy","The Fire Marshal","Du Heresy","Nine Inch Nails - NINRemixes.com Unofficial - 69 - Heresy, Du Heresy, by The Fire Marshal (Unofficial Remix).mp3","1111","24","3.3","N","0.0695055","0.0210623","1190604535","adbd6b07bfd354de6f29a5f4e1fc67b8","0",NULL,NULL,
"70","Fan Inspired Song","Fan Inspired Song","FWTBaal","Shed My Skin","Nine Inch Nails - NINRemixes.com Unofficial - 70 - Shed My Skin by FWTBaal (Fan Inspired Song).mp3","510","36","4.7","Y","0.333071","0.0708661","1178957817",,"0",NULL,NULL,
"71","Unofficial Remix","The Downward Spiral","Cold Water Flat","The World Of Blue Water Mix","Nine Inch Nails - NINRemixes.com Unofficial - 71 - The Downward Spiral, The World Of Blue Water Mix, by Cold Water Flat (Unofficial Remix).mp3","864","26","5.9","?","0.165808","0.028103","1147065451","35be23e0380ba6352da5cdf224a0e79a","0","NOOOOOOOOOOO!!!!","NOOOOOOOOOOO!!!!",
"72","Unofficial Remix","With Teeth","Andrea Cota",,"Nine Inch Nails - NINRemixes.com Unofficial - 72 - With Teeth remixed by Andrea Cota (Unofficial Remix).mp3","902","19","5.6","?","0.118486","0.0211581","1177091329","a3b5e1d9350a8afa6f3c18c45423990e","0",NULL,NULL,
"73","Unofficial Remix","Every Day Is Exactly The Same","5ilent Narcotic",,"Nine Inch Nails - NINRemixes.com Unofficial - 73 - Every Day Is Exactly The Same remixed by 5ilent Narcotic (Unofficial Remix).mp3","1824","48","6.3","?","0.163772","0.0259956","1177090866","3ddf896847f9a9ce8be2f5a89cf0cd49","0","cool","cool",
"74","Unofficial Remix","Closer","DJ Wretched","Closer To Fuck","Nine Inch Nails - NINRemixes.com Unofficial - 74 - Closer, Closer To Fuck, by DJ Wretched (Unofficial Remix).mp3","850","14","5.1","?","0.0789286","0.0154762","1147217308","b8f5cc87b0d0513cd3a6e7e6dafef7de","0",NULL,NULL,
"75","Unofficial Remix","Closer","The Fire Marshal","Closr 2 Jrms","Nine Inch Nails - NINRemixes.com Unofficial - 75 - Closer, Closr 2 Jrms, by The Fire Marshal (Unofficial Remix).mp3","553","13","5","?","0.117754","0.0235507","1147549939","2a40e1168d66bea9ef1528cbd29d6362","0",NULL,NULL,
"76","Unofficial Remix","Leaving Hope","Nothing666","My Only Hope Mix","Nine Inch Nails - NINRemixes.com Unofficial - 76 - Leaving Hope, My Only Hope Mix, by Nothing666 (Unofficial Remix).mp3","2021","88","6.1","?","0.257229","0.0421687","1190604103","65bc965ba7e28993b4c49e326197a9d1","0","dance, dark, simple but satisfying","simple but satisfying, dark, dance",
"77","Unofficial Remix","Metal","The Industrial Lord Of Sounzz","Comparison Mix","Nine Inch Nails - NINRemixes.com Unofficial - 77 - Metal, Comparison Mix, by The Industrial Lord Of Sounzz (Unofficial Remix).mp3","1890","60","6","?","0.190118","0.0316864","1186841804","d28b079bad41914fba6d38318c9faccd","0","gary numan, rap, trent reznor","gary numan, trent reznor, rap, metal, cover, mix",
"78","Cover","A Warm Place","Digital Syn","A Warmer Place","Nine Inch Nails - NINRemixes.com Unofficial - 78 - A Warm Place, A Warmer Place, by Digital Syn (Cover).mp3","1339","49","6.1","?","0.229042","0.0375479","1177090449","e596fc3f233abe8b27a1066f0afd668b","0",NULL,NULL,
"79","Fan Inspired Song","Fan Inspired Song","H","The Republic","Nine Inch Nails - NINRemixes.com Unofficial - 79 - The Republic by H (Fan Inspired Song).mp3","1084","54","6.1","?","0.299629","0.0491196","1215099474","a0b7e6a637165c820cc9a563fce4c62d","0","Quite good","Quite good",
"80","Unofficial Remix","10 Miles High","Angus James Thomson","Negotiated","Nine Inch Nails - NINRemixes.com Unofficial - 80 - 10 Miles High, Negotiated, by Angus James Thomson (Unofficial Remix).mp3","999","23","5.8","?","0.118126","0.0203666","1151031305","15cc37f745b201c75a77fc2a7b43031f","0",NULL,NULL,
"81","Unofficial Remix","The Day The World Went Away","CRK","Distant Mix","Nine Inch Nails - NINRemixes.com Unofficial - 81 - The Day The World Went Away, Distant Mix, by CRK (Unofficial Remix).mp3","6532","224","6.9","?","0.235651","0.0341524","1177091093","b4710b51ef1138d86d08768bd8e95533","0","TDTWWA remix mashup, skilled mixing","TDTWWA remix mashup, skilled mixing",
"82","Cover","Only","Lithium Dawn","Only Redux","Nine Inch Nails - NINRemixes.com Unofficial - 82 - Only, Only Redux, by Lithium Dawn (Cover).mp3","1381","60","6","Y","0.253644","0.0422741","1154497250","d36aaea6cd69ecf3efbb829dd3186a1d","0",NULL,NULL,
"83","Cover","You Know What You Are","Lithium Dawn",,"Nine Inch Nails - NINRemixes.com Unofficial - 83 - You Know What You Are covered by Lithium Dawn (Cover).mp3","1410","52","6.1","?","0.218013","0.0357398","1177092264","3020c7bfaeb78cf7caea9a67d281b537","0","Eraser..., lol Closer","lol Closer, Eraser...",
"84","Unofficial Remix","All The Love In The World","DJ Wretched","Jagged Edges Disappear","Nine Inch Nails - NINRemixes.com Unofficial - 84 - All The Love In The World, Jagged Edges Disappear, by DJ Wretched (Unofficial Remix).mp3","829","11","5.5","?","0.073601","0.013382","1177090627","3ff1e5caeb68f8e30d1250c3e6bb03f8","0",NULL,NULL,
"85","Unofficial Remix","The Fragile","Ess Inc",,"Nine Inch Nails - NINRemixes.com Unofficial - 85 - The Fragile remixed by Ess Inc (Unofficial Remix).mp3","1062","14","4.7","?","0.0579696","0.012334","1177094043","7e21543b2c5a56cb478ff33f0fb57e1a","0",NULL,NULL,
